%,yes_yes,yes_no,no_yes
0.1,0.4258,0.33858,0.06152
0.2,0.2659,0.19454,0.01194
0.3,0.16744,0.10456,0.0103
0.4,0.10846,0.04916,0.01008
0.9,0.01002,0.01,0.01026
