%,yes_yes,yes_no,no_yes
0.0,0.54872,0.54872,0.53198
0.05,0.68756,0.19546,0.53016
0.1,0.56464,0.4961,0.52848
0.2,0.59486,0.5986,0.52408
0.3,0.4821,0.48856,0.51676
0.5,0.3352,0.34796,0.49642
0.75,0.0104,0.01,0.41582
