%,yes_yes,yes_no,no_yes
0.0,0.5252,0.5252,0.5695
0.05,0.52072,0.52694,0.47194
0.1,0.45936,0.45046,0.30604
0.2,0.38664,0.33866,0.05906
0.3,0.2827,0.22754,0.01524
0.5,0.16212,0.08938,0.01002
0.75,0.0102,0.01,0.01
